MASTER TASK LIST — SaaS Undangan Digital,,,,,,,,,
"ID",Modul,Fitur / Task,Deskripsi,Phase,Prioritas,Estimasi (hari),Role Dev,Status,Catatan
TPL-02,Template Engine,Render engine (JSON → UI),Next.js component yang baca JSON config + data undangan → render,Phase 1,High,5,Frontend,Todo,
TPL-03,Template Engine,Komponen: Cover / Hero,"Full-screen foto, nama pasangan, countdown, 5 varian layout",Phase 1,High,3,Frontend,Todo,
TPL-04,Template Engine,Komponen: Detail acara,"Section akad + resepsi, embed Google Maps, ikon, animasi",Phase 1,High,2,Frontend,Todo,
TPL-05,Template Engine,Komponen: Galeri foto,"Grid foto, lightbox, lazy load, kompres otomatis",Phase 1,High,3,Frontend,Todo,
TPL-06,Template Engine,Komponen: Musik player,"Auto-play mp3, kontrol mute/play, visual sederhana",Phase 1,Medium,2,Frontend,Todo,
TPL-07,Template Engine,Komponen: RSVP form,"Tombol hadir/tidak/ragu, input jumlah, simpan ke DB",Phase 1,High,2,Fullstack,Todo,
TPL-08,Template Engine,Komponen: Guestbook,"Form ucapan tamu, list ucapan publik, moderasi vendor",Phase 1,Medium,2,Fullstack,Todo,
TPL-09,Template Engine,Komponen: Cerita cinta (timeline),"Timeline milestone pasangan, foto per milestone",Phase 2,Medium,3,Frontend,Todo,Fitur premium
TPL-10,Template Engine,Komponen: Rekening & hadiah,"Nomor rekening, salin otomatis, alamat, wishlist link",Phase 2,Medium,1,Frontend,Todo,
TPL-11,Template Engine,Template dasar (10 template),"Minimalis, rustic, islami, playful, etnik — 2 per kategori",Phase 1,High,10,Frontend/Design,Todo,
TPL-12,Template Engine,Template premium (15 template),"Elegan/luxury, animasi halus, parallax, custom cursor",Phase 2,Medium,15,Frontend/Design,Todo,
TPL-13,Template Engine,Halaman pilih template (vendor),"Grid preview template, filter kategori/tier, live preview",Phase 1,High,3,Frontend,Todo,
TPL-14,Template Engine,SSG/ISR undangan page,"Generate halaman undangan statis saat live, revalidate jika ada edit",Phase 1,High,3,Backend,Todo,Kunci performa
FORM-01,Klien Form Page,Validasi & auth smart link,"Cek token valid, belum expired, belum disubmit ulang",Phase 1,High,1,Backend,Todo,
FORM-02,Klien Form Page,Layout multi-step form,"Progress bar, navigasi antar step, animasi transisi",Phase 1,High,3,Frontend,Todo,Mobile-first
FORM-03,Klien Form Page,Step 1: Data pasangan,"Nama lengkap, panggilan, nama ortu, foto, kutipan",Phase 1,High,2,Frontend,Todo,
FORM-04,Klien Form Page,Step 2: Detail acara,"Multi-acara (akad+resepsi), tanggal, jam, lokasi, Maps, dress code",Phase 1,High,3,Frontend,Todo,
FORM-05,Klien Form Page,Step 3: Upload galeri foto,"Drag & drop, multiple upload, crop sederhana, reorder, kompres",Phase 1,High,4,Frontend,Todo,
FORM-06,Klien Form Page,Step 4: Pilih musik,"Library 30+ lagu, preview, atau upload MP3 sendiri",Phase 1,Medium,3,Fullstack,Todo,
FORM-07,Klien Form Page,Step 5: Cerita cinta,"Tambah milestone: tanggal, judul, cerita, foto",Phase 2,Medium,2,Frontend,Todo,Premium
FORM-08,Klien Form Page,Step 6: Rekening & hadiah,"Input rekening bank, alamat, wishlist URL",Phase 2,Low,1,Frontend,Todo,
FORM-09,Klien Form Page,Step 7: Input data tamu,Upload Excel template atau input manual per tamu,Phase 1,High,4,Fullstack,Todo,
FORM-10,Klien Form Page,Step 8: Pesan untuk tamu,"Kata sambutan, ucapan terima kasih, catatan dress code",Phase 1,Medium,1,Frontend,Todo,
FORM-11,Klien Form Page,Auto-save per step,Simpan ke localStorage + backend setiap pindah step,Phase 1,High,2,Fullstack,Todo,UX krusial
FORM-12,Klien Form Page,Preview live sebelum submit,"Render undangan real-time dari data yang diisi, mobile preview",Phase 1,High,3,Frontend,Todo,
FORM-13,Klien Form Page,Submit & trigger live,"Validasi semua step, simpan ke DB, trigger generate undangan",Phase 1,High,2,Backend,Todo,
TAMU-01,Manajemen Tamu,Tabel daftar tamu per undangan,"List tamu, kolom: nama, WA, kategori, status RSVP, status WA",Phase 1,High,3,Frontend,Todo,
TAMU-02,Manajemen Tamu,Filter & search tamu,Filter: belum buka / sudah buka / hadir / tidak hadir / belum RSVP,Phase 1,High,2,Frontend,Todo,
TAMU-03,Manajemen Tamu,Parse upload Excel tamu,"Baca file xlsx, validasi kolom, insert ke DB, tampilkan error baris",Phase 1,High,3,Backend,Todo,
TAMU-04,Manajemen Tamu,Download template Excel tamu,File xlsx siap isi dengan header + 1 contoh baris,Phase 1,High,1,Backend,Todo,
TAMU-05,Manajemen Tamu,Input tamu manual,"Form tambah tamu 1 per 1: nama, WA, kursi, kategori",Phase 1,High,1,Frontend,Todo,
TAMU-06,Manajemen Tamu,Edit & hapus tamu,"Inline edit nama/WA/kategori, hapus dengan konfirmasi",Phase 1,Medium,1,Fullstack,Todo,
TAMU-07,Manajemen Tamu,Personalized link per tamu,"Generate URL: undangan.com/slug?to=NamaTamu, encode nama",Phase 1,High,2,Backend,Todo,Fitur utama
TAMU-08,Manajemen Tamu,Halaman daftar link tamu (klien),"List semua tamu + link personal, tombol salin & kirim WA per tamu",Phase 1,High,3,Frontend,Todo,
TAMU-09,Manajemen Tamu,Download Excel link tamu,"Export xlsx: nama, WA, link personal, status RSVP",Phase 1,High,2,Backend,Todo,
TAMU-10,Manajemen Tamu,Salin semua link (format teks),"Tombol copy semua link format ""Nama: link"" ke clipboard",Phase 1,Medium,1,Frontend,Todo,
TAMU-11,Manajemen Tamu,Tracking buka undangan per tamu,"Catat opened_at, open_count, last_opened_at per tamu",Phase 1,High,2,Backend,Todo,
TAMU-12,Manajemen Tamu,RSVP per tamu,Simpan status RSVP + jumlah hadir dari halaman undangan,Phase 1,High,2,Fullstack,Todo,
TAMU-13,Manajemen Tamu,Ringkasan RSVP dashboard,"Total diundang, hadir, tidak hadir, belum konfirmasi, estimasi kursi",Phase 1,High,2,Frontend,Todo,
TAMU-14,Manajemen Tamu,Kategori & grup tamu,"Label: Keluarga / Teman / Kolega / VIP, filter per kategori",Phase 1,Medium,1,Fullstack,Todo,
WA-01,Blast WA & Notifikasi,Integrasi WA API (Fonnte/Wablas),"Setup API key, wrapper service, handle response & error",Phase 2,High,3,Backend,Todo,Wajib Phase 2
WA-02,Blast WA & Notifikasi,Job queue blast WA (BullMQ),"Queue per tamu, delay 2 detik antar pesan, retry on fail",Phase 2,High,3,Backend,Todo,
WA-03,Blast WA & Notifikasi,Blast WA ke semua tamu,"Tombol trigger blast, pesan personal per tamu, status realtime",Phase 2,High,3,Fullstack,Todo,Tier Pro
WA-04,Blast WA & Notifikasi,Blast WA ke tamu terpilih,"Checkbox select tamu, blast hanya ke yang dipilih",Phase 2,Medium,1,Fullstack,Todo,
WA-05,Blast WA & Notifikasi,Tracking status kirim WA per tamu,"Update wa_sent_at, wa_status (sent/delivered/failed) realtime",Phase 2,High,2,Backend,Todo,
WA-06,Blast WA & Notifikasi,Reminder WA ke tamu belum RSVP,Auto-send H-7 hari acara ke tamu yang belum konfirmasi,Phase 2,Medium,2,Backend,Todo,Tier Pro
WA-07,Blast WA & Notifikasi,Notif WA ke vendor (klien submit),WA otomatis ke vendor saat klien selesai isi data,Phase 1,High,1,Backend,Todo,
WA-08,Blast WA & Notifikasi,Notif WA vendor kuota hampir habis,WA + email saat kuota undangan tersisa 20%,Phase 2,Medium,1,Backend,Todo,
WA-09,Blast WA & Notifikasi,Notif WA reminder klien isi data,Auto-kirim WA ke klien jika 3 hari belum isi form,Phase 2,Medium,1,Backend,Todo,
WA-10,Blast WA & Notifikasi,Notif email (Resend),"Setup email service: verifikasi, invoice, notif order",Phase 1,Medium,2,Backend,Todo,
WA-11,Blast WA & Notifikasi,Log notifikasi WA,"Riwayat semua WA terkirim, status, timestamp, per order",Phase 2,Low,1,Backend,Todo,
ANL-01,Analitik,Dashboard analitik vendor,"Grafik: undangan dibuka per hari, jam ramai, RSVP trend",Phase 2,Medium,4,Fullstack,Todo,
ANL-02,Analitik,Statistik per undangan,"Total buka, unique visitor, conversion RSVP, top jam buka",Phase 2,Medium,2,Backend,Todo,
ANL-03,Analitik,Tracking pixel (buka undangan),"Endpoint catat open per tamu: IP, device, waktu",Phase 1,High,1,Backend,Todo,
ANL-04,Analitik,Export laporan Excel,"Export data tamu lengkap: RSVP, ucapan, tracking buka",Phase 2,Medium,2,Backend,Todo,Tier Pro
BILL-01,Billing & Paket,Integrasi Midtrans/Xendit,"Setup payment gateway, webhook handler, verifikasi pembayaran",Phase 1,High,4,Backend,Todo,
BILL-02,Billing & Paket,Halaman paket & pricing,"Tampilkan 4 tier, perbandingan fitur, tombol upgrade",Phase 1,High,2,Frontend,Todo,
BILL-03,Billing & Paket,Flow upgrade paket,Pilih paket → checkout → konfirmasi → aktivasi otomatis,Phase 1,High,3,Fullstack,Todo,
BILL-04,Billing & Paket,Manajemen subscription,"Tanggal expire, auto-remind 7 hari sebelum, perpanjang manual",Phase 1,High,2,Backend,Todo,
BILL-05,Billing & Paket,Riwayat pembayaran & invoice,"List transaksi, download invoice PDF per transaksi",Phase 2,Medium,2,Fullstack,Todo,
BILL-06,Billing & Paket,Free trial 14 hari otomatis,"Set trial saat register, countdown banner, nag screen H-3",Phase 1,High,1,Backend,Todo,
BILL-07,Billing & Paket,Enforcement kuota undangan,Block buat order baru jika quota_used >= limit tier,Phase 1,High,1,Backend,Todo,
ADM-01,Admin Panel,Dashboard admin (ringkasan),"Total vendor, undangan aktif, MRR, churn rate, new sign-up hari ini",Phase 2,High,3,Frontend,Todo,
ADM-02,Admin Panel,Manajemen vendor,"List semua vendor, filter plan, usage, suspend/aktifkan",Phase 2,High,3,Fullstack,Todo,
ADM-03,Admin Panel,Manajemen template,"Upload template baru, edit config JSON, aktif/nonaktif, preview",Phase 2,High,4,Fullstack,Todo,
ADM-04,Admin Panel,Revenue dashboard,"MRR, ARR, churn, grafik per bulan, breakdown per tier",Phase 2,Medium,3,Frontend,Todo,
ADM-05,Admin Panel,Monitoring server & error,"Integrasi Sentry, uptime, error rate, alert jika error spike",Phase 2,Medium,2,DevOps,Todo,
ADM-06,Admin Panel,Log notifikasi WA platform,"Semua WA terkirim dari sistem, status, error rate per provider",Phase 2,Low,1,Backend,Todo,
ADM-07,Admin Panel,Pengaturan platform,"Edit harga tier, fitur per tier, batas kuota, konfigurasi global",Phase 3,Medium,2,Fullstack,Todo,
INF-01,Infrastruktur,Setup proyek Next.js + TypeScript,"Init repo, folder structure, ESLint, Prettier, env config",Phase 1,High,1,Fullstack,Todo,Hari pertama
INF-02,Infrastruktur,Setup database PostgreSQL (Supabase),"Create project, schema migration, RLS policy dasar",Phase 1,High,2,Backend,Todo,
INF-03,Infrastruktur,Multi-tenancy: RLS per vendor,Row-level security semua tabel utama dengan vendor_id,Phase 1,High,2,Backend,Todo,Security krusial
INF-04,Infrastruktur,Setup Cloudflare R2 storage,"Bucket config, upload API, signed URL, CDN integration",Phase 1,High,2,Backend,Todo,
INF-05,Infrastruktur,Setup Redis (Upstash),"Cache config, session, job queue untuk blast WA",Phase 1,Medium,1,Backend,Todo,
INF-06,Infrastruktur,CI/CD pipeline (GitHub Actions),"Auto deploy ke Vercel saat push main, preview deploy per PR",Phase 1,Medium,1,DevOps,Todo,
INF-07,Infrastruktur,Staging environment,Database & storage terpisah untuk testing sebelum production,Phase 1,Medium,1,DevOps,Todo,
INF-08,Infrastruktur,Rate limiting API,"Limit per IP: submit form klien, RSVP, tracking pixel",Phase 1,High,1,Backend,Todo,
INF-09,Infrastruktur,File upload security,"Validasi tipe & ukuran file, virus scan sebelum simpan ke R2",Phase 1,High,2,Backend,Todo,
INF-10,Infrastruktur,Monitoring & alerting,"Sentry error tracking, Vercel Analytics, uptime monitor",Phase 2,Medium,2,DevOps,Todo,
